provincia_nombre,tipo_norma,numero_norma,estado_vigencia,fecha,fecha_publicacion,nombre_norma,titulo_resumido,titulo_sumario,informacion_digesto,texto_actualizado,provincia_id
Chaco,Código Tributario,2444,"Vigente, de alcance general",1962-12-31,1963-01-29,DECRETO LEY 2.444,Código Tributario Provincial,DERECHO CONSTITUCIONAL-LEY TRIBUTARIA-CODIGO TRIBUTARIO-CODIGO TRIBUTARIO DE CHACO,,www.saij.gob.ar/LPH0002444,22
Chaco,Código Procesal Minero,4889,"Vigente, de alcance general",2001-05-30,2001-06-27,Ley 4889,"Código de Procedimientos Mineros, que establece las actividades regidas por el Código de Minería y demás Leyes en la materia",MINERIA-CODIGO MINERO-CODIGO DE PROCEDIMIENTOS MINEROS- COMPETENCIA MINERA-ACTOS PROCESALES-PERMISOS Y CONCESIONES MINERAS-PROTECCION AMBIENTAL-PERMISOS DE EXPLORACION O CATEO- MINAS DE PRIMERA CATEGORIA-MINAS DE SEGUNDA CATEGORIA- SUSTANCIAS DE...,,www.saij.gob.ar/LPH0004889,22
Ciudad Autónoma de Buenos Aires,Código Contravencional,10,Derogada,1998-03-09,,LEY 10,Código contravencional de la Ciudad de Buenos Aires,SIN EFICACIA POR TEXTO ORDENADO POSTERIOR POR DECRETO 451/99- CODIGO CONTRAVENCIONAL DE LA CIUDAD DE BUENOS AIRES-CONTRAVENCIONES- AMBITO DE APLICACION-PENAS-COMPUTO DE LA PENA-EXTINCION DE LA PENA-REGISTRO JUDICIAL DE CONTRAVENTORES.,,www.saij.gob.ar/LPX0000010,02
Ciudad Autónoma de Buenos Aires,Código Fiscal,1010,"Individual, Solo Modificatoria o Sin Eficacia",2003-03-28,2003-04-24,LEY 1010,"Código Fiscal de la Ciudad de Buenos Aires, para el ejercicio 2003  (con las modificaciones introducidas por la ley N° 1192 para el ejercicio 2004).",PLAZO CUMPLIDO-CODIGO FISCAL DE LA CIUDAD DE BUENOS AIRES-TRIBUTOS- CONTRIBUYENTES-NOTIFICACIONES-FACULTADES DEL PODER EJECUTIVO-PROCEDIMIENTO TRIBUTARIO-HECHO IMPONIBLE-BASE IMPONIBLE,,www.saij.gob.ar/LPX2001010,02
Ciudad Autónoma de Buenos Aires,Tratado,5469,"Vigente, de alcance general",2015-12-03,2016-01-20,LEY H - N° 5.469,Regula actividad. Ambulancias no estatales. Servicios de atención médica extrahospitalaria de urgencias. Requisitos. Habilitación. Crea Registro,Regula actividad. Ambulancias no estatales. Servicios de atención médica extrahospitalaria de urgencias. Requisitos. Habilitación. Crea Registro,,www.saij.gob.ar/LPX0005469,02
Córdoba,Código Procesal Minero,5436,"Vigente, de alcance general",1972-10-16,1972-10-30,Ley 5.436.,CODIGO DE PROCEDIMIENTO MINERO,"CODIGO DE PROCEDIMIENTO MINERO-ACTUACIONES VOLUNTARIAS Y CONTENCIOSAS:COMPETENCIA,NOTIFICACIONES,TERMINOS,TRASLADOS Y VISTAS -CONCESIONES MINERAS:CATEO,ESTACA O MINA NUEVA-SOCAVONES DE EXPLORACION Y EXPLOTACION-CONCESION Y PEDIMENTOS DE MINAS-MINAS...",,www.saij.gob.ar/LPO0005436,14
Córdoba,Código Procesal del Trabajo,7987,"Vigente, de alcance general",1990-11-13,1991-01-15,LEY 7.987,CODIGO PROCESAL DEL TRABAJO,"CODIGO DE PROCEDIMIENTO LABORAL-ORGANIZACION  DE LA JUSTICIA DEL TRABAJO-COMPETENCIA:MATERIAL,TERRITORIAL-MAGISTRADOS,FUNCIONARIOS:RECUSACIONES,EXCUSACIONES-ACTOS PROCESALES-COSTAS-INCIDENTES-PRUEBA -CONCILIACION:DEMANDA,AUDIENCIA-JUICIO:AUDIENCIA...",,www.saij.gob.ar/LPO0007987,14
La Pampa,Norma Jurídica de Facto,1000,"Individual, Solo Modificatoria o Sin Eficacia",1980-03-28,1980-04-02,NORMA JURIDICA DE FACTO Nro. 1000,Modificando el Código Fiscal (T.O. 1978),MODIFICATORIA DE LEY CON TEXTO ORDENADO POSTERIOR-CODIGO  FISCAL-IMPUESTO INMOBILIARIO-INMUEBLES-DETERMINACION-  COMERCIO-INDUSTRIA-PROFESION-OFICIO-NEGOCIO-LOCACION DE BIENES-  LOCACION DE OBRA-LOCACION DE SERVICIOS-IMPUESTO-INGRESOS BRUTOS- ...,,www.saij.gob.ar/LPL0000769,42
La Pampa,Norma Jurídica de Facto,1001,"Individual, Solo Modificatoria o Sin Eficacia",1980-03-28,1980-04-11,NORMA JURIDICA DE FACTO Nro. 1001,"Ratificando convenio entre la empresa Obras Sanitarias de la Nación y la provincia, sobre transferencia de los servicios a cargo de O.S",LEY SIN EFICACIA POR OBJETO CUMPLIDO-CONVENIO-OBRAS SANITARIAS DE LA NACION-TRANSFERENCIA-SERVICIOS-BIENES INMUEBLES-MUEBLES-EQUIPOS- INSTALACIONES-SEMOVIENTES-RECURSOS FINANCIEROS-TASAS-TARIFAS- CONTRIBUCIONES-PERSONAL-ADMINISTRACION...,,www.saij.gob.ar/LPL0001687,42
Salta,Código Contravencional,7135,"Vigente, de alcance general",2001-05-03,2001-05-28,LEY 7135,CODIGO CONTRAVENCIONAL DE LA PROVINCIA DE SALTA,CODIGO CONTRAVENCIONAL DE LA PROVINCIA DE SALTA-POLICIA PROVINCIAL- PODER DE POLICIA-CODIGO CONTRAVENCIONAL-CONTRAVENCIONES-CONTRA LA INTEGRIDAD PERSONAL-LIBERTAD INDIVIDUAL-PROPIEDAD-SEGURIDAD PUBLICA-TRANQUILIDAD-ORDEN PUBLICO-ADMINISTRACION...,,www.saij.gob.ar/LPA0007135,66
